publisher,url,date,threat degree
Business Insider, https://www.businessinsider.com/microsoft-bing-chatgpt-google-search-openai-2023-1,2023-01-04 ,-0.9920822381973267
Business Insider, https://www.businessinsider.com/chatgpt-essays-college-cheating-professors-caught-students-ai-plagiarism-2023-1,2023-01-14 ,-0.9989834427833557
Business Insider, https://markets.businessinsider.com/news/stocks/chatgpt-microsoft-stock-game-changer-ai-openai-10-billion-investment-2023-1,2023-01-11 ,-0.9904915690422058
Business Insider, https://www.businessinsider.com/nyc-schools-ban-chatgpt-cheating-concern-grows-2023-1,2023-01-06 ,-0.997183620929718
Business Insider, https://www.businessinsider.com/chatgpt-replied-hinge-matches-dating-app-ai-2023-1,2023-01-10 ,-0.9996416568756104
Business Insider, https://www.businessinsider.com/app-detects-if-chatgpt-wrote-essay-ai-plagiarism-2023-1,2023-01-04 ,-0.9896122813224792
Business Insider, https://www.businessinsider.com/google-management-issues-code-red-over-chatgpt-report-2022-12,2022-12-21 ,-0.9789912700653076
Business Insider, https://www.businessinsider.com/chatgpt-startup-boom-funding-generative-ai-trend-jasper-runway-2023-1,2023-01-10 ,0.9941038489341736
Business Insider, https://www.businessinsider.com/chatgpt-job-applications-hiring-managers-job-interview-candidate-2022-12,2022-12-29 ,-0.9996476173400879
Business Insider, https://www.businessinsider.com/microsoft-10-billion-openai-gamble-2023-1,2023-01-11 ,-0.8043834567070007
Business Insider, https://www.businessinsider.com/turnitin-will-detect-chatgpt-answers-openai-product-teachers-ai-speech-2023-1,2023-01-11 ,-0.7940645813941956
Business Insider, https://www.businessinsider.com/chamath-palihapitiya-said-google-search-will-be-biggest-loser-2023-2023-1,2023-01-06 ,-0.9996205568313599
Business Insider, https://www.businessinsider.com/apple-and-google-facing-real-competiive-pressure-2023-1,2023-01-13 ,-0.9963299632072449
Business Insider, https://www.businessinsider.com/microsoft-openai-investment-the-smartest-1-billion-ever-spent-2023-1,2023-01-06 ,-0.9762371778488159
Business Insider, https://www.businessinsider.com/microsoft-talks-invest-billions-openai-chatgpt-owner-report-2023-1,2023-01-10 ,-0.9960075616836548
Business Insider, https://markets.businessinsider.com/news/stocks/chatgpt-markets-write-stocks-economy-meme-ai-microsoft-insider-anlayst-2023-1,2023-01-10 ,-0.994375467300415
Business Insider, https://www.businessinsider.com/chatgtp-and-generative-ai-could-form-techs-next-big-bubble-2023-1,2023-01-12 ,-0.962471604347229
Business Insider, https://www.businessinsider.com/company-using-chatgpt-mental-health-support-ethical-issues-2023-1,2023-01-07 ,-0.5752869248390198
Business Insider, https://www.businessinsider.com/tele-prompt-ai-gpt-3-bot-what-to-say-meetings-2022-12,2022-12-22 ,-0.6440489292144775
Business Insider, https://www.businessinsider.com/bill-gates-reddit-ama-ai-not-metaverse-revolutionary-chatgpt-2023-1,2023-01-12 ,-0.9960601925849915
Business Insider, https://www.businessinsider.com/amazon-employees-worry-about-bar-raising-process-changes-2023-1,2023-01-12 ,-0.9927448034286499
Business Insider, https://www.businessinsider.com/many-laid-off-tech-workers-are-bouncing-back-stronger-than-ever2022-12,2022-12-15 ,0.9969524145126343
Business Insider, https://www.businessinsider.com/the-candidate-for-techs-next-big-boom-or-bubble-is-here-2023-1,2023-01-13 ,0.9977021813392639
Business Insider, https://www.businessinsider.com/ai-can-transform-biotech-flagship-pioneering-noubar-afeyan-2023-1,2023-01-09 ,0.9974855184555054
Business Insider, https://www.businessinsider.com/artificial-intelligence-trends-2023-business-healthcare-2023-1,2023-01-10 ,-0.9693297743797302
Business Insider, https://www.businessinsider.com/best-social-media-moments-and-creator-economy-trends-in-2022,2023-01-05 ,0.9997904896736145
Business Insider, https://www.businessinsider.com/tech-trends-for-2023-from-adobes-chief-product-officer-2022-12,2023-01-03 ,0.8643775582313538
Business Insider, https://www.businessinsider.com/how-tiktok-can-avoid-a-ban-in-the-us-2022-12,2022-12-30 ,-0.9950580596923828
Business Insider, https://www.businessinsider.com/invest-year-stock-market-etoro-analyst-recession-advice-markets-economy-2023-1,2023-01-14 ,-0.9802308678627014
Business Insider, https://www.businessinsider.com/big-tech-predictions-for-2023-twitter-google-microsoft-amazon-dtc-2022-12,2022-12-28 ,-0.9984571933746338
Entrepreneur, https://www.entrepreneur.com/business-news/student-builds-chatgpt-detection-app-to-fight-ai-plagiarism/442253,2023-01-05 ,-0.8991138339042664
Entrepreneur, https://www.entrepreneur.com/growing-a-business/5-crucial-predictions-for-retail-in-2023/441668,2023-01-10 ,0.9000471830368042
Entrepreneur, https://www.entrepreneur.com/growing-a-business/3-marketing-trends-you-need-to-look-out-for/439439,2023-01-11 ,0.9925365447998047
